CQM,Date,Arrival Time,Machine Down?,Problem Code,Fault Found  by vendor,Remarks
5890,10-Jul,13:15,N,HTP,Jammed cheque,"Replace 351 belt, clean sensor and roller. Test OK. *requested by CIT"
58D6,10-Jul,13:00,Y,NIC,Blackline,Clean scanner and dust
5892,10-Jul,15:05,Y,NIC,Blackline,"Clean scanner, ribbon, drum belt, pressure roller. *request by CIT"
5818,10-Jul,12:15,Y,NOZ,Out of service,Machine normal. Test OK.
5848,10-Jul,13:50,N,NGZ,Out of sevice,"ACLT timeout, check lan cable, clean sensor and roller. Test OK."
58A9,10-Jul,14:20,N,NIC,Black line at back,Clean scanner and recalibrate scanner. Test ok.
5.80E+05,10-Jul,13:10,Y,NIA,Black line,"cleaning scanner,replaced stamp plate,ink roller"
582D,10-Jul,16:15,N,NIC,Black line,Clean scanner and roller. Test OK. *requested by CIT
5.80E+06,10-Jul,15:15,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
585C,10-Jul,14:30,Y,NIC,Black line at back,Cleaned scanner perform TSP. Service machine. Test OK.
5896,10-Jul,14:00,Y,NIC,Black line,Cleaned scanner. Service machine. Test OK.
58DC,10-Jul,13:25,Y,NZA,cas blur ,cleaning cas printer
583E,10-Jul,17:15,N,NIC,Black line,"Replace stamp and ribbon, clean scanner and roller. Test OK. *requested by CIT"
581A,10-Jul,16:20,Y,NIC,Black line,"Clean scanner & stamp, perform TSP. *offered 15:45. *RI"
589E,10-Jul,15:25,N,NIC,Image small,"Clean scanner, DPM and roller, tsp. Test OK. *requested by CIT"
58CB,10-Jul,15:16,N,NOA,No advice,branch staff unable to load paper. Hold on admin screen. Restart the CAS printer. Reinstall the advice. Tested ok.
58D8,10-Jul,17:00,Y,NZA,CAS,Clean printer and scanner.
582B,10-Jul,16:30,Y,NIA,Blackline,Replace stamp and clean scanner
5842,10-Jul,17:15,Y,NIA,Crossing blur,"Replace stamp, ink roller and ribbon."
5869,10-Jul,16:40,Y,NIC,image unclear,cleaning and calibration scanner
5849,10-Jul,17:05,Y,NIC,"Black line, ribbon low ink","Clean scanner & stamp, perform TSP, informed diebold to replace ribbon."
5806,10-Jul,16:30,N,NGB,Jam cheque,"no jam cheque. Ramp problem. Clean clean scanner and sensors, replace ink-roller"
58EA,10-Jul,18:45,N,NIC,Back image,"clean scanner, smj. Stablized cable. Replaced ribbon and adjusted it. *requested by CIT"
5820,10-Jul,20:20,Y,NBZ,Upper door lock,replaced upper door lock. *requested by CIT
5808,10-Jul,20:45,N,NBA,Cheque jam,"Cheque jam at bin 1, the bin wire is shift. Fix bin wire and remove cheque. Test ok."
5811,10-Jul,21:25,N,NGB,Out of service,"The feeder gate is opened, FD error. Rescrew the feeder gate and test ok. *requested by CIT"
588A,11-Jul,11:00,Y,Request,Health heck,Replace micr head. Perform TSP.
58CC,11-Jul,11:35,Y,Request,Health heck,"Replaec stamp, ink roller and ribbon. Clean sensor and roller."
5806,11-Jul,9:45,N,NUD,Cheque jam,Cheque jam at aligner. Adjust the knob and clean sensors. Test ok.
5887,11-Jul,15:40,Y,Request,Health check,replaced the CAS printer. Tested ok.
583B,11-Jul,15:00,Y,Request,Health check,replaced the CAS printer. Tested ok.
588E,11-Jul,10:00,N,NGB,Jammed cheque,No jammed found. Cleaned sensor F28. Serviced machine. Test Ok.
580E,11-Jul,11:00,N,NGB,Out of service,Stamp error. Cleaned stamp sensor. Serviced machine. Test Ok.
5874,11-Jul,12:15,N,NIB,Endorsement,replaced ribbon and adjusted it.
58A9,11-Jul,12:50,Y,NOZ,CAS blur,No problem found on CAS printer. Ribbon shift. Reinstall ribbon.
58B2,11-Jul,12:55,N,NOZ,jam cheque,take away a card at input slot. Service machine.
5.80E+06,11-Jul,16:15,N,NGZ,check hqs,call atm open controller. Service machine. *requested by CIT
58A2,11-Jul,20:55,N,NUD,Jam cheque on bin 1,adjust the cheque of bin 1. tested ok.
5.80E+03,12-Jul,10:15,Y,Request,Upgrade application,wrong password. Need follow other disk.
58B5,12-Jul,12:15,N,NUD,Jam cheque on bin 1,removed jam cheque. Adjust the cheque of bin 1. clean the roller of bin 1. tested ok. *follow 58E2
5831,12-Jul,18:15,N,NUD,Jam cheque,Remove jammed cheque at escrow. Clean F8 sensor and roller.
580E,12-Jul,18:45,N,NGB,Out of service.,clean and adjust the stamp and ink roller. Tested ok.
5.80E+03,13-Jul,16:00,Y,Request,Upgarde,Upgrade application
58BA,13-Jul,9:15,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.replace red belt and flat belt
5806,13-Jul,10:00,N,NUD,Jam cheque on bin 1,adjust the cheque of bin 1. clean the sensor and Flat belt of bin 1. tested ok.
5892,13-Jul,10:20,Y,Request,Health check,Cleaned sensors & rollers. 
589E,13-Jul,13:55,N,NIC,Image problem,"Clean scanner, roller and DPM box, tsp. Test OK."
5807,13-Jul,14:00,Y,NIA,Crossing & endorsement,"Replaced stamp, ink roller & ribbon. Serviced machine. Test OK."
585C,13-Jul,13:20,N,NIB,Endorsement,Replaced ribbon. Serviced machine. Test OK.
5867,13-Jul,14:00,Y,NIB,Low ink,Replace ribbon
58B9,13-Jul,14:55,N,NIB,Endorsement,"Replace ribbon, tested ok"
5882,13-Jul,14:00,Y,NIA,Black line,Replace ink roller. Clean scanner and SMJ board.
583E,13-Jul,16:40,N,NIC,Image problem,"Clean scanner roller and DPM, tsp.Test OK."
5884,13-Jul,17:00,Y,NIC,Black line,clean the scanner and roller. Replaced the stamp. Tested ok. *requested by CIT
5824,13-Jul,15:40,Y,NIC,Black line ,"Cleaned the scanner, calibrated the scanner, tested ok"
58D4,13-Jul,15:00,N,NIA,Crossing,Replaced ink roller. Serviced machine. Test OK.
5815,13-Jul,16:10,N,NIC,Black line,Remove jammed cheque at feeder. Replace stamp. Clean scanner. 
586D,13-Jul,15:45,N,NUD,Jammed cheque,"Remove jammed cheque at bin 1, adjusted wiring collection box."
586D,13-Jul,16:20,N,NUD,Jammed cheque,Replaced solenoid bin 3. Serviced machine. Test OK.
5883,13-Jul,16:20,Y,NOZ,Problem sloved by FLM,Tested ok
586A,13-Jul,16:30,Y,Request,Upgarde,Upgrade application
583F,13-Jul,18:45,N,NIA,No stamp,Replace stamp and clean scanner
5883,13-Jul,21:10,Y,NUD,Previous jam cheque scanner,adjusted scanner gap.
58C0,13-Jul,21:55,Y,NUD,Jam cheque at bin 1,check normal at bin 1. replaced stamp. *follow 5883
5807,13-Jul,21:35,N,NOZ,Black line,NFF. Clean front scanner and recalibrate scanner. Test ok.
5822,14-Jul,10:45,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.replace red belt and flat belt
585C,14-Jul,9:00,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.replace red belt and flat belt
585D,14-Jul,10:00,Y,Request,PM Check,Pm check with reference to document RI/PM/202006.replace red belt and flat belt
589D,14-Jul,9:45,N,NUD,Jam cheque,Remove jammed cheque at feeder. Clean feeder rollers and printer.
5897,14-Jul,10:30,Y,Request,Upgrade,Upgrade application 2.65
5891,14-Jul,11:45,Y,Request,Upgrade,Upgrade application 2.65
58BD,14-Jul,14:30,Y,Request,Upgrade,Upgrade application 2.65
58C5,14-Jul,14:20,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
5872,14-Jul,11:45,N,NUD,Jam cheque,Jam cheque at escrow/collection path bin 1 trimming paper guide.
58FE,14-Jul,12:00,N,HTP,Out of service,"Cheque jam at bin 1, the bin 1 solenoid is broken. Replace bin 1 solenoid and clean scanner. Test ok."
58A9,14-Jul,14:00,Y,Request,Health checked,clean the CAS printer. Clean black line and stamp. Tested ok.
58AB,14-Jul,14:00,Y,Request,Health checked,clean the CAS printer. Reload the CAS printer setting.
58CC,14-Jul,15:15,Y,NIC,Image problem,clean the scanner and roller. Perform TSP. tested ok. *follow 58AB
58A5,14-Jul,16:00,Y,NIA,Crossing blur,adjsut the ink roller. Tested ok. *follow 58AB
58C9,14-Jul,13:45,Y,NIC,Black line,cleaning scanner and pressure roller
58D4,14-Jul,14:30,Y,NIC,Black line,Cleaend scanner. Serviced machine. Test OK.
5867,14-Jul,13:20,Y,NIC,Black line,"Cleaned the scanner, tested ok"
5822,14-Jul,14:00,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test Ok.
5882,14-Jul,13:45,Y,NIC,front blackline,cleaned it and stamp.
5824,14-Jul,14:20,Y,NIC,Black line,"Clean scanner, stamp and roller. Test OK."
5887,14-Jul,15:10,Y,NIA,Crossing blur,Clean & adjust stamp gap
5808,14-Jul,14:55,Y,NZA,Out of service,"Cleaned CAS printer, tested ok"
5872,14-Jul,16:00,N,NUD,Jam cheque at scanner,removed cheque at scanner. adjust gap.
58FD,14-Jul,16:15,Y,Request,Upgrade,Upgrade application 2.65
5891,14-Jul,16:10,Y,Request,Search cheque,"No cheque found,Upload log"
58B7,14-Jul,17:15,Y,NUD,Jammed cheque,"Reject cheqeue at scanner, tested ok"
5828,14-Jul,18:00,N,NOZ,Out of service.,machine normal. Clean and adjust the CAS printer. Tested ok.
5803,14-Jul,18:45,N,NIA,No crossing. ,replaced the stamp.clean the scanner. Tested ok.
581B,14-Jul,19:25,Y,NOZ,Out of service.,machine normal. Clean and adjust the CAS printer. Tested ok.
5879,14-Jul,20:30,N,NIC,black line,clean scanner and stamp
5825,14-Jul,21:45,N,NIC,black line,clean scanner and stamp *requested by CIT
5887,14-Jul,22:15,N,NIC,image problem,clean and celibrate scanner *RI
5845,15-Jul,10:30,Y,Request,Pm Check,Pm check with reference to document RI/PM/202007.
585E,15-Jul,11:05,Y,Request,Pm Check,Pm check with reference to document RI/PM/202007.
585F,15-Jul,11:45,Y,Request,Pm Check,Pm check with reference to document RI/PM/202007.
580B,15-Jul,10:45,Y,Request,Health Check,"Replace card reader, clean sensor and roller. Test OK."
58C6,15-Jul,10:15,Y,HCR,Jam card,Replace card reader. Clean scanner. *RI
5.80E+05,15-Jul,12:00,Y,NIA,Crossing blur,adjust stamp and ink roller postion
5811,15-Jul,13:00,N,NIB,Endorsement,Replaced ribbon. Serviced machine. Test OK.
58D4,15-Jul,12:45,N,NIC,Front blackline,cleaned it and stamp.
5867,15-Jul,12:30,N,NIA,Black line,"ink roller melted,cannot provide ink roller,follow up by atm"
58C9,15-Jul,12:45,N,NIC,Black line,"Cleaned the scanner, tested ok"
58C1,15-Jul,13:20,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
58B7,15-Jul,16:30,Y,NIB,No back endorsement,Ribbon is no ink. Replace ribbon and clean scanner. Test ok. *follow 58AF
58CB,15-Jul,14:30,N,NIC,Black line,Clean front scanner and recalibrate scanner. Test ok.
5839,15-Jul,14:45,Y,NIC,Black line,"Clean back scanner and roller, tsp. Test OK."
589C,15-Jul,14:30,Y,NIC,Black line,Clean scanner. Adjust scanner gap.
5873,15-Jul,15:30,Y,NIC,Black line,clean scanner and roller. Tested ok. *follow 58F1
58F1,15-Jul,14:45,Y,NIC,Black line,clean scanner and roller. Tested ok.
58C8,15-Jul,15:45,Y,NIB,Endorsement,Perform TSP. Clean scanner. *follow 589C
5818,15-Jul,15:15,Y,NIB,Endorsement,clean scanner TSP. Adjust endorsement.
58AF,15-Jul,15:15,N,NIC,Black line,Clean front scanner and recalibrate scanner. Replace ribbon and fix feeder gate. Test ok.
5824,15-Jul,19:45,N,NGA,CQM no power ,replaced the main power fuse. Tested ok.
5807,15-Jul,21:30,Y,NIC,Black line,cleaning scanner and adjust stamp
5822,16-Jul,9:00,Y,NIA,No crossing,Adjust ink roller. Clean sacnner.
584A,16-Jul,10:00,Y,Request,Health check,Cleaned sensors & rollers. 
587E,16-Jul,11:40,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
584E,16-Jul,10:35,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
584C,16-Jul,9:20,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
584D,16-Jul,10:00,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
5844,16-Jul,9:05,Y,NIC,Black line on front image,"Clean scanner, replace stamp"
58FE,16-Jul,10:05,N,NZA,Jam advice,removed jam advice. Clean printer.
5870,16-Jul,10:30,N,HTP,Out of service,Remove jammed cheque at feeder. Replaced O-ring. Serviced machine. Test OK.
5.80E+08,16-Jul,12:45,Y,NBA,Cover lock is broken,Replace cover lock and clean scanner. Test ok. *requested by CIT
58DC,16-Jul,11:15,Y,NZA,CAS blur,Need follow to replace CAS printer
5890,16-Jul,12:50,N,NGB,Out of service,stablized and cleaned F6. *follow 5824
5824,16-Jul,11:15,N,NGA,No power,checked wall socket have problem.  Power resume normal.
585A,16-Jul,13:15,Y,NZA,CAS Continuous Paper Out ,Clean printer sensor and printer head. Reinsert cas.
58DC,16-Jul,12:25,Y,HCA,CAS blur,"Replace printer, clean scanner and roller. Test OK."
5844,16-Jul,12:50,Y,NIB,Endorsment problem,"Asjut test priner gap, clean scanner and roller. Test OK."
58D4,16-Jul,13:55,Y,NIC,Black line,Cleaned scanner & stamp. Serviced machine. Test OK
5848,16-Jul,13:50,Y,NIC,Image problem,clean scanner TSP.
58DF,16-Jul,14:45,Y,NOZ,Black line,NNF. cleaning scanner and scanner roller
58B8,16-Jul,14:00,N,NGB,Out of service,"jam a paper bit into d.d.sensor,remove"
5807,16-Jul,15:20,Y,NOZ,Black line,NFF. cleaning scanner and adjust stamp *follow 58B8
58BA,16-Jul,15:10,Y,NIC,image bright,clean and celibrate scanner
5817,16-Jul,16:30,N,NIC,black Image,Clean scanner and recalibrate scanner. Test ok. *offered 15:30
58AA,16-Jul,16:00,Y,NIA,Crossing,Clean scanner and replace stamp *offered 15:30
58D6,16-Jul,16:40,Y,NIC,Blackline on endorsement,"Clean scanner, pressure roller. *offered 15:30"
5806,16-Jul,16:00,Y,NIC,Black line,clean scanner and roller. Tested ok.
5872,16-Jul,16:45,Y,NIA,Black line,"Replace stamp plate, tested ok"
5861,16-Jul,17:00,Y,NIC,Black line,Clean scanner and stamp.
58C2,16-Jul,19:20,Y,NIB,Endorsement blur,"Adjust the metal sheet, tested ok. *offered 17:15"
580A,16-Jul,18:10,Y,NIC,Black line,cleaning scanner and replace stamp
5820,16-Jul,18:30,Y,NIB,No endorsement,"Replace ribbon, tested ok"
583B,16-Jul,18:55,Y,NIC,Black line,cleaning scanner and adjust ink roller
5848,16-Jul,20:30,Y,NIC,Black line,"Calibrated the scanner, tested ok"
58DF,16-Jul,21:00,Y,NIA,Black line,cleaning scanner and replaced ink roller
5846,16-Jul,22:20,N,NGC,Idle,"stopped at BIOS.  Restart PC, tested ok"
582E,17-Jul,10:30,Y,NOZ,No problem found,Clean scanner and replace stamp.
5879,17-Jul,10:15,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
5878,17-Jul,9:45,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
5877,17-Jul,9:15,Y,Request,PM Check,Pm check with reference to document RI/PM/202007.
583C,17-Jul,9:35,N,NGB,"Feeder sensor engaged, no jam","Clean sensor, adjust feeder pad"
580E,17-Jul,10:40,N,NUD,Cheque jammed at eject slot,"Remove cheque, Rescrew pulley behind pressure roller. *offered 10:00"
58A2,17-Jul,9:15,N,NUA,Out of service,No poling closed. Checked log card reader problem. Clean card reader. Tested ok.
58AB,17-Jul,11:00,Y,Request,Upload log,Upload logs
5824,17-Jul,9:00,Y,NGA,No power,Electrician reconnect power cable and fixed cable position.  Test OK.
58CF,17-Jul,11:45,Y,NZA,Cannot detect CAS roll,Clean & adjust CAS roll detector
58B9,17-Jul,15:00,N,NIC,Image problem,"Replace stamp, clean scanner and roller, tsp. Test OK."
584E,17-Jul,13:50,Y,NIC,Black line,Cleaned scanner. Serviced machine. Test OK.
58DF,17-Jul,14:35,Y,NIB,Black line,Ribbon ink leakage. Replaced ribbon. Cleaned scanner. Serviced machine. Test OK.
587B,17-Jul,12:55,Y,NIC,Black line,Clean scanner. Perform TSP.
5897,17-Jul,13:00,N,NIC,Image small,Cleaned scanner. Perform TSP. Serviced machine. Test OK.
5891,17-Jul,11:30,N,NZA,CAS jam,Clean CAS printer and clean scanner. Clean printer roller and test ok.
5839,17-Jul,14:00,Y,HPE,Image problem,"Replace pressure roller, clean scanner, tsp. Test OK."
58B5,17-Jul,14:45,Y,NIC,Both side image,clean scanner TSP.
58B6,17-Jul,15:45,Y,NIA,crossing,replace stamp
58B2,17-Jul,15:15,N,NUA,Reject cheque,Replaced belt (MICR). Cleaned roller. Serviced machine. Test OK.
5869,17-Jul,15:45,N,NIC,Black line,cleaning and calibration scanner
5806,17-Jul,15:50,Y,NIA,No crossing little blur,adjust the ink roller roller. Clean F8 sensor. Tested ok.
58B3,17-Jul,16:45,Y,NBA,Jammed cheque,"Check collection box, adjust thicknes adjuster. Test OK."
5835,17-Jul,21:20,N,NUD,Jam cheque at scanner,"adjust scanner gap position,Test ok. *offered 16:15"
584F,17-Jul,20:45,Y,NIA,Crossing incomplete,replaced stamp plate and ink roller. *requested by CIT
585B,17-Jul,19:00,Y,NIC,Black line,"Replace ink roller and stamp plate, test ok"
583C,17-Jul,18:50,N,NBA,Can't insert cheque box,replaced cheque box wiring and adjust cheque box rail
5866,17-Jul,19:25,Y,NUA,Reatain card,"machine arrived normal,check log missing 24v at cuttoff ,checking upper door lock and cleaning card reader"
58A9,17-Jul,20:40,N,NUA,Autoreset,"Remove admin card, tested ok"
5824,17-Jul,21:40,Y,NIB,No endorsement,"Adjust text print head, tested ok"
5897,18-Jul,9:45,Y,Request,Health check,Cleaned sensors & rollers. Replaced O-ring (thickness adjustor shaft). 
5848,18-Jul,11:30,Y,Request,Health Check,"Check printer and setting, clean sensor and roller, adjust thickness adjuster. Test OK."
5869,18-Jul,10:00,Y,Request,Health Check - CAS,"Replace CAS printer, tested ok"
583F,18-Jul,11:25,Y,Request,Health Check,"Replace stamp plate and Ink roller, tested ok"
58B5,18-Jul,9:20,N,NIC,Back image,adjusted scanner gap.
5820,18-Jul,10:10,N,NUD,Jammed cheque,"Remove cheque near in scanner, replace ribbon, clean roller. Test OK."
5844,18-Jul,12:30,N,NBA,Can't insert cheque,Fix the bin wire and clean scanner. Test ok.
5869,18-Jul,16:00,N,NIC,image rear bright,adjust rear gain density *offered 14:00
5824,18-Jul,15:40,N,NIB,endorsement blur,clean scanner and roller. Replaced ribbon. Adjust the endorsement gate.
5893,18-Jul,18:15,N,NGB,Out of service,"Cleaned sensor (DD1), tested ok"
5806,18-Jul,18:40,N,NUD,Jam cheque at scanner.,jam cheque at scanner. Adjust the scanner gate. Clean the scanner belt and red belt. Tested ok.
5806,19-Jul,10:00,Y,Request,health checked,"replaced the o-ring of collection box X 5, pressure roller, Feeder roller and scanner belt. Tested ok."
58C9,19-Jul,12:20,Y,NUB,open gate can't open.,adjust the solenoid cable of open gate. Tested ok. *requested by CIT
5839,19-Jul,12:30,Y,NBZ,can't open bar lock,replaced bar lock *requested by CIT
58B5,19-Jul,14:30,N,NUD,Beep sound,"jam cheque at feeder pad,remove jam cheque ,Test ok"
5819,20-Jul,10:35,Y,Request,PM Checked,PM checked
5823,20-Jul,11:20,Y,Request,PM Checked,PM checked
5802,20-Jul,9:05,Y,Request,PM Checked,PM checked. Replaced ink roller and stamp
5808,20-Jul,9:40,Y,Request,PM Checked,PM checked. Replaced ink roller and stamp
58AC,20-Jul,11:00,Y,Request,health checked,Replaced the stamp and roller. Clean black line. 
58CB,20-Jul,12:45,Y,Request,health checked,Health checked.
5845,20-Jul,10:15,Y,NZA,Card reader,Actual: CAS jammed. Reinsert CAS. Serviced machine. Test OK.
583C,20-Jul,11:30,N,NUD,Jammed cheque at bin 1 entrance,"Remove cheque, adjust bin 1 ejection roller"
5803,20-Jul,12:15,Y,Request,Health Check,"Replace o-ring, flat belt, adjust feeder plate and thickness adjuster, clean sensor and roller. Test OK."
588E,20-Jul,11:30,Y,Request,Health Check ,Clean F20 senosrs and fix the ribbon metal film. Rescrew bend belt and test ok.
5837,20-Jul,12:05,N,NGB,Sensor engaged,"Clean sensor, update OCX"
58B2,20-Jul,12:15,N,NUB,Can't insert cheque,Cleaned feeder roller. Serviced machine. Test OK.
5869,20-Jul,13:30,N,NIC,Image blur,Clean scanner and recalibrate scanner. Replace ribbon and test ok.
5824,20-Jul,13:50,N,NIB,Endorsement blur,"Replace ribbon, adjust test printer gap, clean scanner. Test OK."
5808,20-Jul,14:15,N,NUD,Cheque jam,Fix the bin 1 solenoid and clean scanner. Test ok.
581D,20-Jul,14:45,Y,NUD,Jam cheque at aligner,Service machine
58B2,20-Jul,14:00,N,NUB,Out of service,MICR problem. Need follow up.
586B,20-Jul,13:45,Y,NOZ,Out of service,Machine normal. Serviced machine. Test OK. 
5893,20-Jul,14:30,N,NGB,Out of service,Clean F28.
5837,20-Jul,15:15,N,NUD,Out of service,Removed jam cheque at bin 1. adjust bin 1 roller.
58B4,20-Jul,16:15,N,NUD,jam cheque,"jam at bin 1, remove cheque"
58F0,20-Jul,16:30,N,NUD,Cheque jam,Stamp is loosen. Rescrew stamp and clean scanner. Test ok.
5828,20-Jul,19:20,N,NUD,Jam cheque at bin 1,adjust bin 1 flat belt
58B7,20-Jul,19:40,Y,HPE,endorsement,"replace ribbon motor, clean roller and scanner"
58C5,20-Jul,21:25,N,NUD,jam cheque at scanner,"scanner not closed,Fix screw"
5891,21-Jul,12:30,Y,Request,PM Check ,Pm check with reference to document RI/PM/202007. replaced stamp and ink-roller
58B8,21-Jul,10:00,Y,Request,PM Check ,Pm check with reference to document RI/PM/202007. replaced stamp and ink-roller
58C9,21-Jul,11:15,Y,Request,PM Check ,Pm check with reference to document RI/PM/202007. replaced stamp and ink-roller
58EC,21-Jul,9:15,Y,Request,PM Check ,Pm check with reference to document RI/PM/202007. replaced stamp and ink-roller
5802,21-Jul,9:10,Y,NBZ,Cover lock problem,Replace cover lock and test ok.
58AB,21-Jul,11:45,Y,Request,health checked,"Clean the sensor, roller of CAS printer. Tested ok."
5880,21-Jul,10:00,N,NIC,Small image,clean scanner and roller. TSP. tested ok.
5891,21-Jul,12:30,Y,NZA,CAS,remove jam advice. *follow PM
585D,21-Jul,13:20,N,NGB,Out of service,Adjust input block. Can't back flush. Clean feeder roller and sensor.
5848,21-Jul,14:15,Y,NGC,Out of service,"machine arrived normal,check log image not arrived,check DPM lan cable"
58C9,21-Jul,13:25,N,NGB,out of service,fix feeder plate and f29
5800,21-Jul,15:00,Y,NUD,Cheque jam,Fix the bin 2 solenoid and clean scanner. Test ok.
583F,21-Jul,14:20,Y,NIC,Black line on rear,"Cleaned scanner roller, tested ok"
581A,21-Jul,15:00,Y,NIC,Black line,"Adjust ink roller gap, tested ok"
58D9,21-Jul,16:50,N,NIC,Image small,adjust front scanner cable and calibration scanner. *follow 5848
5871,21-Jul,15:00,Y,NIC,Black line & CAS,"Cleaned scanner, remove jammed CAS. Serviced machine. Test OK."
5.80E+06,21-Jul,15:10,Y,NZA,printer sensor dirty,clean printer sensor
580B,21-Jul,15:30,Y,NZA,No cas,"cleaning cas printer sensor,Test ok"
5818,21-Jul,14:55,N,NUD,Jam cheque at scanner,removed culved cheque. Make ramp smooth.
58BB,21-Jul,16:00,Y,NIC,Endorsement,Cleaned scanner. Adjusted rear offset. Serviced machine. Test OK.
583C,21-Jul,15:40,N,NUD,Jam cheque,Remove jammed cheque at bin 4. Adjust bin roller and box wire.
5807,21-Jul,15:55,Y,NIC,Back blackline,clean it and ribbon and pressure roller.
58A5,21-Jul,16:20,N,NZA,Jam advice,Clean the CAS printer. Tested ok.
58F0,21-Jul,20:40,N,NGB,Out of service,Clean F8 sensor. *requested by CIT
5858,21-Jul,16:00,N,NIC,Image blur,Clean scanner and recalibrate scanner. Replace ribbon and test ok.
5888,21-Jul,17:05,Y,NIC,Black line,"Cleaned the scanner, tested ok"
5806,21-Jul,19:00,Y,NIB,No endorsement,Adjust ribbon. Perform TSP. *requested by CIT
5.80E+01,21-Jul,18:05,Y,NIC,Black line on both image,Clean scanner & stamp
5869,21-Jul,21:30,N,NIB,Endorsement unclear,"Adjust printer gap, replug cable. *offered 18:00"
58FE,21-Jul,19:45,N,HTP,Out of service,Replace yellow belt and bend screw. *requested by CIT
58AE,21-Jul,20:45,Y,NIA,crossing blur and black line,"Replace stamp, clean scanner. *requested by CIT"
58D2,21-Jul,21:45,Y,NIA,No crossing,Replace stamp and ink roller. *RI
583F,22-Jul,11:00,Y,Request,Health check,Replace scanner
5.80E+05,22-Jul,11:55,Y,Request,Health check,Replace CAS printer
58B3,22-Jul,9:30,Y,NIC,Black line,"Cleaned the scanner, tested ok"
5803,22-Jul,12:00,N,NUD,Jammed cheque,"Cleaned sensor (F6), adjust solenoid (Aligner), tested ok *offered 09:15"
5846,22-Jul,10:00,N,NOA,Out of service.,cut off problem. Cut of heading. Clean scanner. Tested ok.
58B4,22-Jul,10:30,Y,Request,Healthcheck,replace stamp and ink-roller
5822,22-Jul,11:55,Y,Request,Healthcheck,replace stamp and ink-roller
5869,22-Jul,10:45,Y,Request,Health Check ,Health Check - Replace 024 board and replace stamp. Test ok.
584D,22-Jul,12:30,Y,Request,Health Check ,"cleaning and adjust F1,F2,F29 sensor,Test ok"
585C,22-Jul,11:30,N,NUD,jam cheque,clean roller and scanner
58EE,22-Jul,11:55,Y,NOZ,screen color problem,"Replug DVI conventor,Test ok"
585B,22-Jul,16:30,Y,NIB,endorsement,clean and calibrate scanner. *follow 5891
5859,22-Jul,16:40,N,NZA,CAS jam,"Check printer and setting, clean sensor and roller. Test OK. *requested by CIT"
5891,22-Jul,15:00,Y,NZA,CAS jam,clean Printer
5837,22-Jul,15:40,Y,NIB,Endorsement blur,"Adjust dot matrix printer gap, perform TSP"
588D,22-Jul,15:20,N,NIC,Image small,Clean front scanner and recalibrate scanner. Test ok.
584D,22-Jul,15:00,Y,NIB,Endorsement blur,Replaced ribbon cartiage
5892,22-Jul,15:50,Y,NIC,black line,clean scanner
58A9,22-Jul,15:15,Y,NIC,Black line,clean scanner and roller. Tested ok.
585C,22-Jul,15:45,Y,NUB,Reject cheque,Adjusted thickness adjustor. Serviced machine. Test OK.
5822,22-Jul,16:00,Y,NIB,Black line,Ribbon ink leak. Cleaned scanner. Replaced ribbon. Serviced machine. Test OK.
582F,22-Jul,16:25,Y,NIC,Black line,Clean scanner. Replace ribbon. Perform TSP.
58C0,22-Jul,16:30,Y,NIC,Black line on front image,Clean scanner & stamp
5803,22-Jul,16:45,N,NGB,Jammed cheque,"Cleaned sensor (DD1, DD2), tested ok"
5830,22-Jul,19:05,Y,NGC,Flash display,restart pc. *requested by CIT
58AF,22-Jul,18:55,N,NIA,Crossing blur,"Replace stamp, clean scanner and roller. Test OK. "
5821,22-Jul,18:20,Y,NIC,Both blackline,cleaned them and ribbon and stamp.
58D2,22-Jul,20:20,Y,NIC,Front scanner back line,"Clean front scanner and roller, adjust ink roller. Test OK."
5803,22-Jul,21:30,N,NUD,jammed cheque,"Check feeder plate, feeder solenoid  and cable. Test OK. *RI"
58A9,22-Jul,21:15,N,NIA,Front crossing and image,adjusted crossing and replaced ink roller. Clean scanner TSP.
585B,22-Jul,22:20,N,NOZ,Back image,checked normal. Stablized scanner cable.
58B3,23-Jul,9:15,Y,NIB,No endorsement,adjusted it.
584C,23-Jul,10:45,Y,Request,Search cheque,No cheque found. Test OK.
5.80E+06,23-Jul,11:30,N,NZA,No CAS,insert advice
58A7,23-Jul,15:15,Y,HTP,Out of service,Replace bend belt. Clean scanner.
5821,23-Jul,13:30,N,NUD,Jam cheque at bin 1,exchanged bin 1 and 3 solenoid.
58C9,23-Jul,14:45,N,NUD,Jam cheque at feeder,"Remove cheque, adjust thickness gap, fix endorsement blur"
58B4,23-Jul,14:45,N,NUD,CQ JAM,Remove jam cheque at escrow. Tested ok.
